34.6716809372939,0.325380931492271,1670,25352,Kakamega,"Navakholo Sub County","Shinoyi-Shikomari-Esumeiya Ward",rFlaJBkq35x,G6PJ5kFVAuO,BjC1xL40gHo
34.6245120348107,0.403161672558881,1671,38407,Kakamega,"Navakholo Sub County","Bunyala West Ward",soqBddsWHf5,G6PJ5kFVAuO,BjC1xL40gHo
34.7060571586988,0.452132277917433,1672,22122,Kakamega,"Navakholo Sub County","Bunyala East Ward",ddOJaw1OQwA,G6PJ5kFVAuO,BjC1xL40gHo
34.6842744609413,0.401564349445729,1673,29193,Kakamega,"Navakholo Sub County","Bunyala Central Ward",Qa2LjBCOXby,G6PJ5kFVAuO,BjC1xL40gHo
34.4598047165434,0.326583970597217,1674,37214,Kakamega,"Mumias West Sub County","Mumias Central Ward",w6anQIp7OrZ,uRl5fBkhpcE,BjC1xL40gHo
39.6307185855405,-4.03748425171092,1796,28128,Mombasa,"Changamwe Sub County","Kipevu Ward",Eswb97MIEP8,OvI6w06DhPJ,wsBsC6gjHvn
35.222896186768,-0.361619353125622,961,19355,Kericho,Ainamoi,Belgut,9FGOPKvxhZb,hWjXAuKxhT9,4iAGnbzwkCQ
39.996587452756,-1.35207956690335,94,24201,"Tana River","Galole Sub County","Chewani Ward",Fuc7wSQ4gkN,A4SNYCxrrnv,JsH2bnvNt2d
39.9670159239378,-1.70448298958265,92,13636,"Tana River","Galole Sub County","Kinakomba Ward",JRAYgvhoUEp,A4SNYCxrrnv,JsH2bnvNt2d
34.2177095899203,-0.818743354251036,1476,14331,Migori,"Nyatike Sub County","Kanyasa Ward",ONNWmIVc48N,D2lsuEzZAJP,fVra3Pwta0Q
34.2508695467872,-0.907554481078596,1477,30697,Migori,"Nyatike Sub County","North Kadem Ward",ry7pGVSoLwL,D2lsuEzZAJP,fVra3Pwta0Q
34.2655589409139,-0.980456942983109,1478,22691,Migori,"Nyatike Sub County","Macalder/Kanyarwanda Ward",NGRN2o3qN2r,D2lsuEzZAJP,fVra3Pwta0Q
34.2345996212418,-1.07460045204652,1479,9775,Migori,"Nyatike Sub County","Kaler Ward",edSLoK3sx6W,D2lsuEzZAJP,fVra3Pwta0Q
34.1887689156974,-1.00709879880245,1480,22338,Migori,"Nyatike Sub County","Got Kachola Ward",wQeQqCSAjRy,D2lsuEzZAJP,fVra3Pwta0Q
34.1199640581723,-1.02506642666518,1481,23018,Migori,"Nyatike Sub County","Muhuru Ward",nQxxjPy6J5A,D2lsuEzZAJP,fVra3Pwta0Q
34.6129243854845,-1.19764038750761,1482,19476,Migori,"Kuria West Sub County","Bukira East Ward",lOqK0cwQKaH,jtBjNpL9FXS,fVra3Pwta0Q
34.5619484384523,-1.19746137968684,1483,18140,Migori,"Kuria West Sub County","Bukira Central/Ikerege Ward",mLrXAhflEvn,jtBjNpL9FXS,fVra3Pwta0Q
34.4783879844826,-1.23793175030819,1484,23556,Migori,"Kuria West Sub County","Isibania Ward",ItjmRWn5IsE,jtBjNpL9FXS,fVra3Pwta0Q
39.6055814200281,-4.03341574285089,1797,29662,Mombasa,"Changamwe Sub County","Airport Ward",bmyrNLOPAAW,OvI6w06DhPJ,wsBsC6gjHvn
41.071891018635,-2.10360316652836,101,13524,Lamu,"Lamu East",Faza,xDKzFE2qfHL,cwnqFyTJIgX,NjWSbQTwys4
41.3719658286867,-1.80085846344179,102,4265,Lamu,"Lamu East",Kiunga,fmWYhwoFxe8,cwnqFyTJIgX,NjWSbQTwys4
41.0315787165171,-1.8323624317209,103,1052,Lamu,"Lamu East",Basuba,YbfMLNQRxtf,cwnqFyTJIgX,NjWSbQTwys4
40.9398807076384,-2.27204801698195,104,3274,Lamu,"Lamu West",Shella,hlwSQTsP5nU,Lfxw0DfD4jN,NjWSbQTwys4
40.8552301548125,-2.28875309558269,105,19092,Lamu,"Lamu West",Mkomami,khU4bMjWLt6,Lfxw0DfD4jN,NjWSbQTwys4
40.7364498643833,-2.03489383765047,106,10700,Lamu,"Lamu West",Hindi,yCylsEe6jSZ,Lfxw0DfD4jN,NjWSbQTwys4
38.9357865067479,-0.431012008177049,98,14105,"Tana River","Bura Sub County","Bangale Ward",SCxU4funihr,yWPcTwGwQ2B,JsH2bnvNt2d
39.6128878371505,-0.583961159957737,99,10370,"Tana River","Bura Sub County","Sala Ward",tc9MpZMV6yJ,yWPcTwGwQ2B,JsH2bnvNt2d
