X,Y,gid,pop2009,county,subcounty,ward,uid,scuid,cuid
36.8493443010784,-1.28428483310295,2079.0,21699.000000000000000,Nairobi,Kamukunji  Sub County,California Ward,LR8RoEpERGM,qoLIT7y5f5c,jkG3zaihdSs
36.8447972119166,-1.28810931689935,2075.0,37602.000000000000000,Nairobi,Kamukunji  Sub County,Pumwani Ward,x6E428s1HPf,qoLIT7y5f5c,jkG3zaihdSs
35.1307170596386,1.1251897571923,694.0,25890.000000000000000,TRANS NZOIA,Cherangany Sub County,Sinyerere Ward,hHfS8R69bEH,f18kGo9yXWo,mThvosEflAU
36.8628312294456,-1.27168130712948,2078.0,43168.000000000000000,Nairobi,Kamukunji  Sub County,Airbase Ward,t4Suo8Enc7T,qoLIT7y5f5c,jkG3zaihdSs
39.6464231564827,-0.447687628416578,133.0,22349.000000000000000,GARISSA,Garissa Sub County,Iftin Ward,sxXb2Lcz396,lQkHbTC1iRg,uyOrcHZBpW0
36.8248095916197,-1.28525582905426,2080.0,13328.000000000000000,Nairobi,Starehe  Sub County,Nairobi Central Ward,KJHG9zDp2UR,nKHlZyN0lt9,jkG3zaihdSs
39.7943713125621,0.000948983992277,146.0,15013.000000000000000,GARISSA,Dadaab Sub County,Dertu Ward,s9YsYYqvjAs,EW4Jw4dVWBt,uyOrcHZBpW0
40.2963627756063,0.050031576964714,147.0,60390.000000000000000,GARISSA,Dadaab Sub County,Dadaab Ward,MG7qx3dHgee,EW4Jw4dVWBt,uyOrcHZBpW0
40.2324189789807,0.156393942941042,148.0,43741.000000000000000,GARISSA,Dadaab Sub County,LABISGALE Ward,IqrzDYsRJpA,EW4Jw4dVWBt,uyOrcHZBpW0
40.6927498052067,-0.002923416372243,149.0,9469.000000000000000,GARISSA,Dadaab Sub County,Damajale Ward,Iz7ISZHUk3Q,EW4Jw4dVWBt,uyOrcHZBpW0
40.7985450271538,0.236820178839208,150.0,11440.000000000000000,GARISSA,Dadaab Sub County,Liboi Ward,OazP6bDZAb4,EW4Jw4dVWBt,uyOrcHZBpW0
40.0290669774918,0.195309672741408,151.0,12434.000000000000000,GARISSA,Dadaab Sub County,Abakaile Ward,Mn7xPHjxcxb,EW4Jw4dVWBt,uyOrcHZBpW0
34.8197570598862,0.014497240368817,756.0,20456.000000000000000,NANDI,Aldai Sub County,Terik Ward,ojy9ffncq0R,Sq2fLWnOCGg,t0J75eHKxz5
36.8261155819145,-1.27350386497112,2081.0,25354.000000000000000,Nairobi,Starehe  Sub County,Ngara Ward Ward,QKZyfxaG8EJ,nKHlZyN0lt9,jkG3zaihdSs
